"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"476" 300 32 1.53 20 10000 0.9 0.0625 0.9311493300156 3.66762885979587 4.61340222870085 5.12600247633428
"477" 400 32 1.53 20 10000 0.9 0.0625 0.828386517566542 4.61840257177038 5.82899855313906 6.4766650590434
"478" 500 32 1.53 20 10000 0.9 0.0625 1.1503406874059 4.71710071479291 3.02278340522264 3.35864822802516
"479" 600 32 1.53 20 10000 0.9 0.0625 0.742816269722456 5.55607879879624 7.24931842525847 8.05479825028719
"480" 700 32 1.53 20 10000 0.9 0.0625 1.13742124952289 6.46942206128656 3.09184216942313 3.43538018824792
"481" 800 32 1.53 20 10000 0.9 0.0625 0.966747996201257 5.10130354562762 4.27989811133197 4.75544234592441
"482" 900 32 1.53 20 10000 0.9 0.0625 1.04999445651098 5.50238022472148 3.62815622352951 4.03128469281057
"483" 1000 32 1.53 20 10000 0.9 0.0625 1.00106610734483 5.27935297150422 3.99148476089806 4.43498306766451
"364" 100 32 1.53 20 10000 0.65 0.071 1.88030931871165 6.61316310465187 1.13136149698343 1.74055614920528
"365" 200 32 1.53 20 10000 0.65 0.071 1.93454591987826 5.91412272198505 1.06881343799188 1.64432836614136
"366" 300 32 1.53 20 10000 0.65 0.071 1.33637522050155 7.37962964183972 2.23976865702005 3.44579793387701
"367" 400 32 1.53 20 10000 0.65 0.071 1.40931197678594 7.25756891694624 2.01393618878662 3.09836336736403
"368" 500 32 1.53 20 10000 0.65 0.071 1.63104269630168 8.5517014192759 1.50358966404785 2.31321486776592
"369" 600 32 1.53 20 10000 0.65 0.071 1.37671025908578 6.90903628650216 2.11044915630687 3.24684485585673
"370" 700 32 1.53 20 10000 0.65 0.071 1.4108374866566 6.54201539224739 2.00958328695742 3.09166659531911
"371" 800 32 1.53 20 10000 0.65 0.071 1.64368211490606 5.55012939729321 1.4805542734763 2.27777580534815
"372" 900 32 1.53 20 10000 0.65 0.071 1.70348515420643 6.56470804590269 1.37842545718956 2.1206545495224
